Account,date,net_pnl,gross_pnl,fees,volume_usd,n_fills,n_realized,n_liq,buy_frac,classification,value,class5,sentiment,won_day
0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,2024-03-10,-791.793673,-786.5406,5.2530730000000005,71373.18000000001,11,9,0,0.8181818181818182,Extreme Greed,79,Extreme Greed,Greed,False
0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,2024-03-11,3579.7066050000003,3588.179495,8.47289,176519.44999999998,42,39,0,0.2857142857142857,Extreme Greed,82,Extreme Greed,Greed,True
0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,2024-03-12,3034.220047,3039.166,4.945953,103040.85,8,7,0,0.125,Extreme Greed,81,Extreme Greed,Greed,True
0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,2024-03-14,6981.628237999999,6998.496418,16.86818,351421.24,40,36,0,0.1,Extreme Greed,88,Extreme Greed,Greed,True
0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,2024-03-15,1904.720399,1911.1434600000002,6.423061000000001,98090.43,12,11,0,0.9166666666666666,Extreme Greed,83,Extreme Greed,Greed,True
0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,2024-03-17,72.945631,73.61088,0.665249,4940.99,7,6,0,0.8571428571428571,Extreme Greed,79,Extreme Greed,Greed,True
0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,2024-03-18,1233.420843,1244.6384,11.217557,51241.71,6,5,0,0.16666666666666666,Extreme Greed,77,Extreme Greed,Greed,True
0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,2024-03-19,3401.788585,3435.947116,34.158531,325351.35000000003,69,61,0,0.4057971014492754,Extreme Greed,79,Extreme Greed,Greed,True
0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,2024-03-20,2087.782833,2097.182,9.399167,97908.18,23,22,0,0.9565217391304348,Greed,74,Greed,Greed,True
0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,2024-03-23,1288.12964,1297.018477,8.888837,92592.20999999999,19,15,0,0.7894736842105263,Greed,73,Greed,Greed,True
0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,2024-03-25,1150.313105,1157.27728,6.964175,72543.76,31,30,0,0.03225806451612903,Extreme Greed,75,Extreme Greed,Greed,True
0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,2024-03-26,2025.2262739999999,2038.0293199999999,12.803046,102079.85,84,81,0,0.03571428571428571,Extreme Greed,81,Extreme Greed,Greed,True
0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,2024-03-27,-40.009854,-38.78006,1.229794,12753.93,7,5,0,0.7142857142857143,Extreme Greed,83,Extreme Greed,Greed,False
0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,2024-03-28,225.79663899999997,227.85100799999998,2.054369,15309.83,10,9,0,0.9,Extreme Greed,80,Extreme Greed,Greed,True
0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,2024-03-30,1090.635686,1100.57514,9.939454,101103.92,45,44,0,0.022222222222222223,Extreme Greed,75,Extreme Greed,Greed,True
0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,2024-04-01,2470.617401,2507.122467,36.505066,204481.03,48,41,0,0.14583333333333334,Extreme Greed,79,Extreme Greed,Greed,True
0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,2024-04-03,126.127164,126.7884,0.6612359999999999,6887.91,2,1,0,0.5,Greed,71,Greed,Greed,True
0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,2024-04-05,5262.477468,5296.433789,33.956321,305295.15,82,75,0,0.08536585365853659,Extreme Greed,79,Extreme Greed,Greed,True
0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,2024-04-08,1213.7443719999999,1218.4267,4.682328,48774.27,2,1,0,0.5,Extreme Greed,76,Extreme Greed,Greed,True
0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,2024-04-12,7704.841873,7790.919438,86.077565,491011.87,137,121,0,0.24817518248175183,Extreme Greed,79,Extreme Greed,Greed,True
0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,2024-04-13,1091.472323,1107.760791,16.288467999999998,131677.25,43,39,0,0.09302325581395349,Greed,72,Greed,Greed,True
0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,2024-04-14,1722.2455870000001,1733.90606,11.660473,121091.66,41,33,0,0.5121951219512195,Greed,72,Greed,Greed,True
0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,2024-04-15,3607.622807,3631.10099,23.478183,238619.68,55,52,0,0.8,Greed,74,Greed,Greed,True
0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,2024-04-16,1289.0383570000001,1299.327011,10.288654000000001,102983.56,15,13,0,0.06666666666666667,Greed,65,Greed,Greed,True
0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,2024-04-17,2430.8474370000004,2441.4683999999997,10.620963,97562.99,14,13,0,0.9285714285714286,Greed,67,Greed,Greed,True
